id,name,zone,total_lines
1,Acton Town,3,2
2,Aldgate,1,2
3,Aldgate East,1,2
4,All Saints,2,1
5,Alperton,4,1
7,Angel,1,1
8,Archway,2.5,1
9,Arnos Grove,4,1
10,Arsenal,2,1
11,Baker Street,1,5
12,Balham,3,1
13,Bank,1,4
14,Barbican,1,3
15,Barking,4,2
16,Barkingside,4,1
17,Barons Court,2,2
18,Bayswater,1,2
19,Beckton,3,1
20,Beckton Park,3,1
21,Becontree,5,1
22,Belsize Park,2,1
24,Bethnal Green,2,1
25,Blackfriars,1,2
26,Blackhorse Road,3,1
27,Blackwall,2,1
28,Bond Street,1,2
29,Borough,1,1
30,Boston Manor,4,1
31,Bounds Green,3.5,1
32,Bow Church,2,1
33,Bow Road,2,2
34,Brent Cross,3,1
36,Bromley-By-Bow,2.5,2
38,Burnt Oak,4,1
39,Caledonian Road,2,1
40,Camden Town,2,1
42,Canary Wharf,2,2
44,Cannon Street,1,2
45,Canons Park,5,1
47,Chalk Farm,2,1
48,Chancery Lane,1,1
49,Charing Cross,1,2
51,Chigwell,4,1
52,Chiswick Park,3,1
54,Clapham Common,2,1
55,Clapham North,2,1
56,Clapham South,2.5,1
58,Colindale,4,1
59,Colliers Wood,3,1
60,Covent Garden,1,1
61,Crossharbour & London Arena,2,1
63,Custom House,3,1
65,Cyprus,3,1
66,Dagenham East,5,1
67,Dagenham Heathway,5,1
70,Devons Road,2,1
71,Dollis Hill,3,1
72,Ealing Broadway,3,2
73,Ealing Common,3,2
74,Earl's Court,1.5,2
75,Eastcote,5,2
76,East Acton,2,1
77,East Finchley,3,1
78,East Ham,3.5,2
79,East India,2.5,1
80,East Putney,2.5,1
81,Edgware,5,1
82,Edgware Road (B),1,1
83,Edgware Road (C),1,3
84,Elephant & Castle,1.5,2
85,Elm Park,6,1
87,Embankment,1,4
89,Euston,1,2
90,Euston Square,1,3
91,Fairlop,4,1
92,Farringdon,1,3
93,Finchley Central,4,1
94,Finchley Road,2,2
95,Finsbury Park,2,1
96,Fulham Broadway,2,1
97,Gallions Reach,3,1
98,Gants Hill,4,1
99,Gloucester Road,1,3
100,Golders Green,3,1
101,Goldhawk Road,2,1
102,Goodge Street,1,1
103,Grange Hill,4,1
104,Great Portland Street,1,3
105,Greenford,4,1
107,Green Park,1,3
108,Gunnersbury,3,1
109,Hainault,4,1
110,Hammersmith,2,3
111,Hampstead,2.5,1
112,Hanger Lane,3,1
113,Harlesden,3,1
114,Harrow & Wealdstone,5,1
115,Harrow-on-the-Hill,5,1
